Coia
"Data";"SO2 µg/m³";"CO mg/m³";"PM25 µg/m³";"PM10 µg/m³";"O3 µg/m³";"NOX µg/m³";"NO2 µg/m³";"NO µg/m³"
"01/08/24";"2.4";"0.13";"7.7";"13";"66";"13";"11";"1.8"
"02/08/24";"2.4";"0.16";"13";"19";"43";"22";"18";"3.1"
"03/08/24";"2.6";"0.23";"14";"22";"34";"25";"19";"3.5"
"04/08/24";"2.8";"0.25";"14";"23";"33";"20";"16";"2.9"
"05/08/24";"2.9";"0.21";"11";"19";"31";"18";"14";"2.8"
"06/08/24";"2.8";"0.18";"8.9";"14";"26";"25";"14";"7.0"
"07/08/24";"2.9";"0.23";"6.0";"15";"40";"19";"13";"3.7"
"08/08/24";"2.8";"0.25";"8.1";"21";"42";"22";"16";"4.0"
"09/08/24";"2.8";"0.26";"13";"27";"42";"30";"23";"4.5"
"10/08/24";"3.2";"0.31";"18";"33";"44";"29";"24";"3.2"
"11/08/24";"3.2";"0.26";"13";"23";"50";"14";"11";"1.6"
"12/08/24";"2.9";"0.20";"5.9";"16";"37";"20";"13";"4.5"
"13/08/24";"2.9";"0.26";"6.4";"12";"41";"22";"16";"3.8"
"14/08/24";"2.9";"0.26";"5.9";"12";"46";"16";"13";"2.0"
"15/08/24";"3.1";"0.32";"12";"21";"43";"26";"21";"3.4"
"16/08/24";"3.1";"0.32";"9.0";"20";"42";"21";"17";"2.8"
"17/08/24";"2.9";"0.27";"5.1";"13";"22";"14";"10";"2.5"
"18/08/24";"3.2";"0.23";"5.2";"9.2";"25";"17";"14";"2.3"
"19/08/24";"3.5";"0.29";"9.0";"18";"32";"28";"17";"7.5"
"20/08/24";"3.0";"0.33";"13";"21";"31";"24";"17";"4.8"
"21/08/24";"3.1";"0.33";"9.8";"24";"48";"27";"21";"4.1"
"22/08/24";"3.2";"0.28";"12";"25";"42";"19";"15";"2.7"
"23/08/24";"3.3";"0.29";"8.1";"13";"28";"25";"18";"4.8"
"24/08/24";"3.1";"0.25";"5.4";"12";"41";"11";"8.2";"2.0"
"25/08/24";"2.9";"0.32";"9.4";"15";"55";"14";"11";"2.1"
"26/08/24";"3.6";"0.38";"12";"21";"40";"42";"30";"8.0"
"27/08/24";"3.2";"0.33";"10";"20";"50";"17";"14";"2.4"
"28/08/24";"3.6";"0.38";"7.7";"16";"31";"35";"22";"8.4"
"29/08/24";"3.6";"0.42";"5.8";"12";"39";"24";"17";"4.4"
"30/08/24";"3.8";"0.45";"8.9";"18";"36";"40";"26";"9.3"
"31/08/24";"3.7";"0.34";"8.9";"15";"44";"17";"14";"2.0"
"01/09/24";"3.4";"0.26";"9.0";"15";"50";"13";"11";"1.7"
"02/09/24";"3.3";"0.32";"9.1";"17";"52";"14";"12";"1.7"
"03/09/24";"3.2";"0.34";"9.9";"18";"59";"18";"14";"2.5"
"04/09/24";"2.9";"0.35";"8.3";"17";"57";"15";"11";"2.3"
"05/09/24";"3.3";"0.34";"9.3";"17";"56";"16";"13";"2.2"
"06/09/24";"3.8";"0.34";"9.5";"15";"45";"25";"20";"3.6"
"07/09/24";"3.7";"0.31";"5.1";"12";"58";"17";"13";"2.3"
"08/09/24";"3.4";"0.34";"7.5";"13";"52";"19";"15";"2.3"
"09/09/24";"3.1";"0.37";"12";"20";"47";"36";"21";"9.5"
"10/09/24";"";"";"";"";"";"";"";""
"11/09/24";"";"";"";"";"";"";"";""
"12/09/24";"";"";"";"";"";"";"";""
"13/09/24";"";"";"";"";"";"";"";""
"14/09/24";"";"";"";"";"";"";"";""
"15/09/24";"";"";"";"";"";"";"";""
"16/09/24";"";"";"";"";"";"";"";""
"17/09/24";"5.2";"0.10";"10";"25";"51";"37";"27";"6.2"
"18/09/24";"5.8";"0.11";"47";"59";"33";"50";"40";"6.4"
"19/09/24";"5.3";"0.10";"46";"58";"36";"63";"38";"16"
"20/09/24";"4.7";"0.10";"32";"42";"24";"43";"34";"6.3"
"21/09/24";"4.5";"0.10";"42";"46";"46";"20";"17";"2.4"
"22/09/24";"4.2";"0.10";"35";"41";"60";"14";"12";"1.3"
"23/09/24";"3.9";"0.10";"22";"31";"58";"34";"23";"7.4"
"24/09/24";"4.3";"0.10";"14";"18";"53";"23";"19";"2.6"
"25/09/24";"";"";"";"";"";"";"";""
"26/09/24";"";"";"";"";"";"";"";""
"27/09/24";"";"";"";"";"";"";"";""
"28/09/24";"";"";"";"";"";"";"";""
"29/09/24";"";"";"";"";"";"";"";""
"30/09/24";"";"";"";"";"";"";"";""
Datos en Horario UTC
,Só se ofrecen para a descarga os datos validados
,* Cláusula de responsabilidade no uso dos datos
,Os datos aquí amosados, son sometidos a distintas rutinas de validación sucesivas ao longo do tempo, polo que se poden dar modificacións destes datos. A Consellería non asume responsabilidade algunha sobre as diversas utilizacións ou interpretacións que o usuario poida facer dos datos subministrados.
