"Instante lectura","Chuvia","Direcci?n do vento predominante a 10m","Horas de fr?o ( <=7?C)","Horas de sol","Humidade relativa media a?1.5m","Insolaci?n","Irradiaci?n global diaria","Presi?n","Temperatura media a?1.5m","Velocidade do vento a 10m"
"2024-05-01 00:00:00.0","13.5","270.0","13.5","5.1","91.0","37.1","1632.0","959.3","7.1","5.2"
"2024-05-02 00:00:00.0","11.2","180.0","6.3","7.2","88.0","52.0","1994.0","961.8","8.6","6.5"
"2024-05-03 00:00:00.0","19.5","180.0","0.0","0.1","98.0","0.4","557.0","961.8","10.8","22.0"
"2024-05-04 00:00:00.0","25.8","180.0","0.0","0.2","99.0","1.5","628.0","959.3","12.3","24.6"
"2024-05-05 00:00:00.0","30.1","180.0","0.0","2.0","99.0","14.5","905.0","958.1","11.6","9.2"
"2024-05-06 00:00:00.0","0.0","270.0","0.0","9.8","85.0","70.0","2385.0","963.5","10.5","5.3"
"2024-05-07 00:00:00.0","0.0","45.0","0.0","12.0","68.0","85.3","2850.0","966.9","14.4","8.2"
"2024-05-08 00:00:00.0","0.0","45.0","0.0","12.2","50.0","86.5","2967.0","965.7","18.5","9.2"
"2024-05-09 00:00:00.0","0.0","90.0","0.0","5.4","43.0","37.8","2003.0","962.5","20.5","7.3"
"2024-05-10 00:00:00.0","0.0","270.0","0.0","11.8","52.0","83.0","2902.0","960.9","21.0","6.0"
"2024-05-11 00:00:00.0","0.0","270.0","0.0","10.9","83.0","76.8","2726.0","962.8","14.9","5.2"
"2024-05-12 00:00:00.0","0.0","270.0","0.0","7.2","90.0","50.5","2093.0","964.5","12.4","4.0"
"2024-05-13 00:00:00.0","30.8","180.0","0.0","1.2","99.0","8.0","598.0","959.1","11.6","11.2"
"2024-05-14 00:00:00.0","7.2","270.0","0.0","5.2","96.0","36.1","1628.0","957.8","9.5","8.2"
"2024-05-15 00:00:00.0","13.2","225.0","0.0","3.9","92.0","27.2","1472.0","956.6","9.1","6.3"
"2024-05-16 00:00:00.0","12.6","180.0","0.0","3.6","94.0","24.9","1402.0","954.7","9.7","6.3"
"2024-05-17 00:00:00.0","0.6","270.0","0.0","5.7","96.0","39.2","2012.0","958.0","10.6","5.7"
"2024-05-18 00:00:00.0","10.8","270.0","0.0","2.8","97.0","19.2","1163.0","959.1","11.1","6.2"
"2024-05-19 00:00:00.0","0.0","270.0","0.0","4.9","88.0","33.5","1842.0","959.5","11.6","5.8"
"2024-05-20 00:00:00.0","0.0","270.0","0.0","8.2","90.0","56.2","2296.0","960.9","11.6","5.5"
"2024-05-21 00:00:00.0","4.8","180.0","0.0","3.5","91.0","23.8","1385.0","963.5","11.5","4.3"
"2024-05-22 00:00:00.0","8.8","270.0","0.0","5.9","92.0","40.1","1928.0","965.8","10.9","6.8"
"2024-05-23 00:00:00.0","0.0","315.0","0.0","12.1","75.0","82.8","2851.0","965.6","12.6","7.1"
"2024-05-24 00:00:00.0","0.0","45.0","0.0","13.2","66.0","90.2","3168.0","962.3","14.9","5.4"
"2024-05-25 00:00:00.0","5.4","180.0","0.0","6.5","89.0","43.9","1700.0","963.5","12.9","5.7"
"2024-05-26 00:00:00.0","0.0","270.0","0.0","9.5","86.0","64.7","2578.0","966.4","12.3","6.5"
"2024-05-27 00:00:00.0","0.0","315.0","0.0","13.2","78.0","89.4","3103.0","967.5","12.4","5.9"
"2024-05-28 00:00:00.0","0.0","270.0","0.0","13.3","68.0","89.9","3165.0","966.8","16.2","5.8"
"2024-05-29 00:00:00.0","0.0","270.0","0.0","13.5","67.0","91.1","3128.0","965.3","17.7","6.7"
"2024-05-30 00:00:00.0","0.0","0.0","0.0","13.3","69.0","89.9","3106.0","961.2","20.1","8.3"
"2024-05-31 00:00:00.0","0.0","45.0","0.0","13.2","55.0","89.2","3285.0","959.2","18.6","16.0"
"2024-06-01 00:00:00.0","0.0","45.0","0.0","13.5","55.0","90.8","3268.0","960.8","19.0","16.6"
"2024-06-02 00:00:00.0","0.0","45.0","0.0","13.5","53.0","90.7","3263.0","962.4","19.4","12.8"
"2024-06-03 00:00:00.0","0.0","45.0","0.0","13.5","53.0","90.6","3218.0","961.3","21.0","9.9"
"2024-06-04 00:00:00.0","0.0","90.0","0.0","13.3","59.0","88.9","3131.0","961.0","19.8","5.3"
"2024-06-05 00:00:00.0","0.0","-1.0","0.0","2.6","85.0","17.4","1516.0","962.0","15.1","2.8"
"2024-06-06 00:00:00.0","0.0","0.0","0.0","11.9","83.0","79.5","2706.0","961.3","18.1","4.1"
"2024-06-07 00:00:00.0","12.1","45.0","0.0","10.1","70.0","67.5","2682.0","958.8","22.7","9.5"
"2024-06-08 00:00:00.0","11.2","0.0","0.0","2.9","95.0","19.4","1109.0","959.1","16.9","4.7"
"2024-06-09 00:00:00.0","0.0","45.0","0.0","2.3","83.0","15.2","1426.0","959.3","15.2","7.8"
"2024-06-10 00:00:00.0","0.0","315.0","0.0","13.0","70.0","86.5","3053.0","960.8","16.0","10.2"
"2024-06-11 00:00:00.0","0.0","0.0","0.0","13.7","70.0","91.2","3226.0","963.7","15.1","7.8"
"2024-06-12 00:00:00.0","0.0","0.0","0.0","13.3","66.0","88.3","3234.0","965.4","15.2","7.3"
"2024-06-13 00:00:00.0","2.4","180.0","0.0","8.8","77.0","58.6","2301.0","965.5","14.9","4.5"
"2024-06-14 00:00:00.0","7.6","270.0","0.0","5.6","93.0","37.3","2017.0","963.5","13.6","7.1"
"2024-06-15 00:00:00.0","0.0","270.0","0.0","5.1","87.0","34.0","1972.0","964.6","13.0","4.7"
"2024-06-16 00:00:00.0","12.6","180.0","0.0","1.0","99.0","6.4","917.0","961.3","14.2","7.5"
"2024-06-17 00:00:00.0","21.3","-9999.0","0.0","-9999.0","100.0","-9999.0","-9999.0","957.0","14.3","-9999.0"
"2024-06-18 00:00:00.0","5.3","-9999.0","0.0","6.0","93.0","39.9","1839.0","957.9","13.7","-9999.0"
"2024-06-19 00:00:00.0","0.5","315.0","0.0","5.9","85.0","38.9","1859.0","962.0","14.5","6.5"
"2024-06-20 00:00:00.0","0.0","315.0","0.0","2.0","91.0","13.4","893.0","966.1","13.2","6.3"
"2024-06-21 00:00:00.0","0.0","270.0","0.0","13.5","85.0","89.7","3202.0","969.5","12.8","5.4"
"2024-06-22 00:00:00.0","0.0","270.0","0.0","6.9","93.0","45.5","2279.0","970.1","15.1","5.5"
"2024-06-23 00:00:00.0","0.0","315.0","0.0","13.5","82.0","89.6","3097.0","965.2","20.1","5.8"
"2024-06-24 00:00:00.0","0.0","270.0","0.0","13.7","73.0","90.5","3071.0","959.0","22.5","4.8"
"2024-06-25 00:00:00.0","0.0","180.0","0.0","0.6","94.0","4.0","906.0","956.8","16.5","4.5"
"2024-06-26 00:00:00.0","0.0","-1.0","0.0","7.3","94.0","48.2","2225.0","956.8","17.1","3.4"
"2024-06-27 00:00:00.0","0.0","270.0","0.0","13.6","81.0","89.9","2988.0","958.8","21.5","5.8"
"2024-06-28 00:00:00.0","0.0","45.0","0.0","9.0","83.0","60.0","2379.0","960.5","19.2","4.4"
"2024-06-29 00:00:00.0","0.0","270.0","0.0","8.3","91.0","55.2","2258.0","962.1","15.4","5.6"
"2024-06-30 00:00:00.0","4.7","-1.0","0.0","2.0","97.0","13.3","1130.0","963.2","14.8","3.8"
"2024-07-01 00:00:00.0","0.0","0.0","0.0","13.6","77.0","90.7","3200.0","967.4","19.4","5.7"
"2024-07-02 00:00:00.0","0.0","90.0","0.0","13.3","71.0","88.2","3161.0","966.4","20.7","6.6"
"2024-07-03 00:00:00.0","0.0","270.0","0.0","13.6","65.0","90.7","3201.0","963.3","21.0","4.9"
"2024-07-04 00:00:00.0","0.0","0.0","0.0","13.6","52.0","90.7","3175.0","961.1","24.4","9.3"
"2024-07-05 00:00:00.0","0.0","270.0","0.0","13.6","63.0","90.7","3204.0","958.7","22.3","6.0"
"2024-07-06 00:00:00.0","0.7","315.0","0.0","9.1","80.0","61.0","2599.0","962.3","15.3","7.2"
"2024-07-07 00:00:00.0","0.0","270.0","0.0","13.6","73.0","90.7","3163.0","962.4","13.7","4.9"
"2024-07-08 00:00:00.0","8.1","180.0","0.0","4.9","78.0","32.4","1765.0","960.4","16.0","8.5"
"2024-07-09 00:00:00.0","7.8","180.0","0.0","0.0","100.0","0.1","582.0","961.1","16.2","8.3"
"2024-07-10 00:00:00.0","0.8","135.0","0.0","3.3","93.0","22.0","1508.0","964.2","18.2","9.0"
"2024-07-11 00:00:00.0","2.0","180.0","0.0","2.5","98.0","16.8","1312.0","966.0","17.6","5.0"
"2024-07-12 00:00:00.0","0.0","0.0","0.0","11.2","78.0","75.5","2929.0","964.6","17.5","6.7"
"2024-07-13 00:00:00.0","0.0","90.0","0.0","12.4","77.0","83.7","3026.0","958.8","16.2","4.0"
"2024-07-14 00:00:00.0","5.3","135.0","0.0","2.2","93.0","14.7","1248.0","958.9","15.8","12.7"
"2024-07-15 00:00:00.0","3.5","180.0","0.0","5.1","94.0","34.7","1751.0","962.4","15.2","4.9"
"2024-07-16 00:00:00.0","0.0","270.0","0.0","9.1","88.0","61.8","2484.0","965.5","15.9","4.2"
"2024-07-17 00:00:00.0","0.0","-1.0","0.0","12.2","75.0","82.9","3007.0","963.6","18.7","3.4"
"2024-07-18 00:00:00.0","0.0","-1.0","0.0","12.9","60.0","87.3","2956.0","965.3","19.4","3.2"
"2024-07-19 00:00:00.0","0.0","270.0","0.0","13.0","78.0","88.1","3032.0","965.5","19.9","4.0"
"2024-07-20 00:00:00.0","5.7","270.0","0.0","0.5","100.0","3.6","778.0","962.2","16.6","4.7"
"2024-07-21 00:00:00.0","0.0","315.0","0.0","13.2","75.0","90.2","3099.0","964.8","16.7","7.6"
"2024-07-22 00:00:00.0","0.0","45.0","0.0","13.2","48.0","90.5","3063.0","965.5","24.6","8.1"
"2024-07-23 00:00:00.0","0.0","45.0","0.0","13.2","50.0","90.5","3028.0","965.8","28.7","7.3"
"2024-07-24 00:00:00.0","0.0","0.0","0.0","13.2","58.0","90.4","3013.0","964.0","27.6","5.6"
