"Instante lectura","Chuvia","Horas de fr?o ( <=7?C)","Humidade relativa media a?1.5m","Temperatura media a?1.5m"
"2024-05-01 00:00:00.0","15.1","0.2","79.0","10.2"
"2024-05-02 00:00:00.0","7.0","0.0","77.0","11.5"
"2024-05-03 00:00:00.0","11.8","0.0","88.0","13.3"
"2024-05-04 00:00:00.0","20.3","0.0","90.0","14.9"
"2024-05-05 00:00:00.0","27.2","0.0","92.0","13.7"
"2024-05-06 00:00:00.0","0.0","0.0","78.0","12.8"
"2024-05-07 00:00:00.0","0.0","0.0","68.0","15.9"
"2024-05-08 00:00:00.0","0.0","0.0","53.0","20.1"
"2024-05-09 00:00:00.0","0.0","0.0","48.0","21.0"
"2024-05-10 00:00:00.0","0.0","0.0","60.0","20.5"
"2024-05-11 00:00:00.0","0.0","0.0","82.0","16.2"
"2024-05-12 00:00:00.0","0.0","0.0","78.0","15.3"
"2024-05-13 00:00:00.0","19.3","0.0","87.0","14.4"
"2024-05-14 00:00:00.0","7.6","0.0","80.0","12.8"
"2024-05-15 00:00:00.0","11.7","0.0","79.0","12.2"
"2024-05-16 00:00:00.0","12.8","0.0","84.0","12.4"
"2024-05-17 00:00:00.0","0.0","0.0","84.0","13.6"
"2024-05-18 00:00:00.0","6.0","0.0","84.0","14.3"
"2024-05-19 00:00:00.0","0.0","0.0","77.0","14.3"
"2024-05-20 00:00:00.0","0.0","0.0","79.0","14.2"
"2024-05-21 00:00:00.0","1.4","0.0","80.0","14.3"
"2024-05-22 00:00:00.0","4.5","0.0","78.0","14.3"
"2024-05-23 00:00:00.0","0.0","0.0","68.0","15.0"
"2024-05-24 00:00:00.0","0.0","0.0","68.0","15.7"
"2024-05-25 00:00:00.0","6.0","0.0","83.0","14.9"
"2024-05-26 00:00:00.0","0.0","0.0","77.0","15.1"
"2024-05-27 00:00:00.0","0.0","0.0","69.0","15.2"
"2024-05-28 00:00:00.0","0.0","0.0","74.0","16.0"
"2024-05-29 00:00:00.0","0.0","0.0","79.0","17.5"
"2024-05-30 00:00:00.0","0.0","0.0","64.0","21.9"
"2024-05-31 00:00:00.0","0.0","0.0","49.0","20.8"
"2024-06-01 00:00:00.0","0.0","0.0","51.0","21.5"
"2024-06-02 00:00:00.0","0.0","0.0","50.0","21.9"
"2024-06-03 00:00:00.0","0.0","0.0","54.0","22.4"
"2024-06-04 00:00:00.0","0.0","0.0","71.0","19.4"
