"Instante lectura","Chuvia","Direcci?n do vento predominante a 10m","Horas de fr?o ( <=7?C)","Horas de sol","Humidade relativa media a?1.5m","Insolaci?n","Irradiaci?n global diaria","Presi?n","Temperatura media a?1.5m","Velocidade do vento a 10m"
"2024-05-01 00:00:00.0","12.0","270.0","0.0","6.9","77.0","49.4","1865.0","1012.9","11.3","12.0"
"2024-05-02 00:00:00.0","3.9","225.0","0.0","7.5","74.0","53.7","2017.0","1015.2","12.6","16.3"
"2024-05-03 00:00:00.0","6.9","180.0","0.0","0.1","84.0","0.5","506.0","1014.8","14.7","14.8"
"2024-05-04 00:00:00.0","16.1","180.0","0.0","0.2","87.0","1.4","770.0","1011.9","16.1","16.8"
"2024-05-05 00:00:00.0","25.3","225.0","0.0","3.0","89.0","21.1","1051.0","1010.7","14.8","15.6"
"2024-05-06 00:00:00.0","0.0","45.0","0.0","12.3","76.0","87.4","2877.0","1016.8","13.9","11.1"
"2024-05-07 00:00:00.0","0.0","90.0","0.0","11.5","67.0","81.7","2726.0","1019.7","17.0","9.4"
"2024-05-08 00:00:00.0","0.0","45.0","0.0","12.1","58.0","85.6","2896.0","1017.6","20.6","11.4"
"2024-05-09 00:00:00.0","0.0","45.0","0.0","4.3","61.0","30.6","1778.0","1014.0","20.2","8.6"
"2024-05-10 00:00:00.0","0.0","225.0","0.0","12.0","69.0","84.1","2845.0","1012.4","19.5","10.2"
"2024-05-11 00:00:00.0","0.0","270.0","0.0","9.5","85.0","66.6","2613.0","1015.3","16.6","13.0"
"2024-05-12 00:00:00.0","0.0","270.0","0.0","9.2","78.0","64.2","2247.0","1017.5","16.1","10.9"
"2024-05-13 00:00:00.0","17.9","270.0","0.0","1.4","86.0","10.0","613.0","1011.8","15.4","12.9"
"2024-05-14 00:00:00.0","4.9","270.0","0.0","4.1","78.0","28.3","1519.0","1010.8","13.9","20.1"
"2024-05-15 00:00:00.0","7.6","270.0","0.0","3.6","75.0","24.7","1540.0","1009.5","13.6","18.5"
"2024-05-16 00:00:00.0","11.4","225.0","0.0","3.5","82.0","24.3","1335.0","1007.6","13.4","11.9"
"2024-05-17 00:00:00.0","0.0","270.0","0.0","8.5","84.0","58.6","2423.0","1011.0","14.2","14.0"
"2024-05-18 00:00:00.0","4.5","270.0","0.0","4.8","83.0","33.3","1618.0","1011.8","15.2","15.2"
"2024-05-19 00:00:00.0","0.4","0.0","0.0","5.2","75.0","35.6","1899.0","1012.4","15.8","6.5"
"2024-05-20 00:00:00.0","0.0","270.0","0.0","11.0","79.0","75.5","2889.0","1013.9","15.1","11.7"
"2024-05-21 00:00:00.0","0.6","225.0","0.0","5.8","80.0","39.5","1681.0","1016.6","15.3","12.2"
"2024-05-22 00:00:00.0","4.7","270.0","0.0","9.6","77.0","65.4","2615.0","1019.1","15.2","17.9"
"2024-05-23 00:00:00.0","0.0","45.0","0.0","13.1","67.0","89.4","3073.0","1018.7","16.2","14.4"
"2024-05-24 00:00:00.0","0.0","45.0","0.0","13.3","71.0","90.4","3104.0","1015.0","16.1","12.7"
"2024-05-25 00:00:00.0","5.9","270.0","0.0","5.7","84.0","38.6","1452.0","1016.3","15.8","7.7"
"2024-05-26 00:00:00.0","0.0","315.0","0.0","10.5","76.0","71.2","2749.0","1019.5","16.1","13.0"
"2024-05-27 00:00:00.0","0.0","45.0","0.0","12.9","69.0","87.6","3049.0","1020.7","16.2","13.1"
"2024-05-28 00:00:00.0","0.0","225.0","0.0","13.3","75.0","89.7","3104.0","1019.6","16.5","13.4"
"2024-05-29 00:00:00.0","0.0","225.0","0.0","13.5","79.0","91.0","3068.0","1017.6","18.2","11.6"
"2024-05-30 00:00:00.0","0.0","45.0","0.0","13.5","66.0","90.9","3092.0","1012.6","22.4","17.2"
"2024-05-31 00:00:00.0","0.0","45.0","0.0","13.5","49.0","90.9","3210.0","1010.9","21.6","21.0"
"2024-06-01 00:00:00.0","0.0","45.0","0.0","13.5","53.0","90.7","3160.0","1012.5","21.7","20.4"
"2024-06-02 00:00:00.0","0.0","90.0","0.0","13.5","52.0","90.6","3176.0","1014.1","22.1","13.9"
"2024-06-03 00:00:00.0","0.0","90.0","0.0","13.5","59.0","90.6","3137.0","1012.6","22.3","12.3"
"2024-06-04 00:00:00.0","0.0","270.0","0.0","12.3","82.0","82.4","3006.0","1012.8","18.5","10.5"
"2024-06-05 00:00:00.0","0.0","270.0","0.0","4.3","84.0","28.7","1622.0","1014.5","17.4","9.3"
"2024-06-06 00:00:00.0","0.0","225.0","0.0","11.4","81.0","76.0","2580.0","1013.1","19.3","7.3"
"2024-06-07 00:00:00.0","17.8","90.0","0.0","10.1","74.0","67.1","2578.0","1009.5","23.3","13.4"
"2024-06-08 00:00:00.0","2.2","45.0","0.0","3.9","88.0","26.0","1418.0","1010.8","19.4","11.8"
"2024-06-09 00:00:00.0","0.0","45.0","0.0","5.2","68.0","34.9","1652.0","1011.4","19.1","17.1"
"2024-06-10 00:00:00.0","0.0","45.0","0.0","13.7","62.0","91.3","3186.0","1013.1","19.1","18.7"
"2024-06-11 00:00:00.0","0.0","45.0","0.0","13.7","63.0","91.2","3184.0","1016.3","18.4","21.0"
"2024-06-12 00:00:00.0","0.0","45.0","0.0","13.5","59.0","90.0","3212.0","1018.0","18.6","19.1"
"2024-06-13 00:00:00.0","6.0","270.0","0.0","8.1","84.0","53.6","2123.0","1018.2","16.0","10.3"
"2024-06-14 00:00:00.0","4.7","270.0","0.0","9.0","86.0","59.9","2356.0","1016.2","16.8","13.2"
"2024-06-15 00:00:00.0","0.0","270.0","0.0","8.2","80.0","54.5","2561.0","1017.5","16.5","11.4"
"2024-06-16 00:00:00.0","6.5","225.0","0.0","2.4","89.0","15.9","1221.0","1013.5","17.7","14.1"
"2024-06-17 00:00:00.0","18.3","180.0","0.0","0.3","87.0","1.9","593.0","1008.8","18.3","7.3"
"2024-06-18 00:00:00.0","4.6","225.0","0.0","10.4","86.0","69.0","2866.0","1010.2","17.0","10.2"
"2024-06-19 00:00:00.0","0.0","0.0","0.0","6.5","78.0","43.2","2079.0","1014.4","17.5","15.1"
"2024-06-20 00:00:00.0","0.0","0.0","0.0","3.0","76.0","19.8","989.0","1018.9","17.4","16.7"
"2024-06-21 00:00:00.0","0.0","270.0","0.0","13.7","75.0","90.6","3187.0","1022.8","16.2","11.3"
"2024-06-22 00:00:00.0","0.0","45.0","0.0","10.2","84.0","67.4","2585.0","1023.0","17.8","10.7"
"2024-06-23 00:00:00.0","0.0","0.0","0.0","13.6","76.0","90.2","3055.0","1016.8","22.6","10.2"
"2024-06-24 00:00:00.0","0.0","225.0","0.0","13.6","77.0","89.8","2998.0","1010.0","22.3","13.0"
"2024-06-25 00:00:00.0","0.0","270.0","0.0","0.0","95.0","0.0","602.0","1008.7","17.8","9.9"
"2024-06-26 00:00:00.0","0.0","270.0","0.0","7.8","91.0","51.4","2162.0","1008.6","18.4","9.6"
"2024-06-27 00:00:00.0","0.0","225.0","0.0","13.4","77.0","88.7","2926.0","1009.9","23.0","8.2"
"2024-06-28 00:00:00.0","0.0","45.0","0.0","9.3","76.0","61.6","2370.0","1012.0","21.3","12.2"
"2024-06-29 00:00:00.0","1.0","270.0","0.0","9.3","81.0","61.5","2434.0","1014.4","18.5","14.3"
"2024-06-30 00:00:00.0","5.0","225.0","0.0","7.8","90.0","51.8","2276.0","1015.5","18.0","9.8"
"2024-07-01 00:00:00.0","0.0","45.0","0.0","13.6","71.0","90.6","3121.0","1019.2","21.9","9.8"
"2024-07-02 00:00:00.0","0.0","90.0","0.0","13.3","66.0","88.4","3082.0","1017.9","23.2","13.3"
"2024-07-03 00:00:00.0","0.0","225.0","0.0","13.5","68.0","89.5","3135.0","1015.0","21.1","11.7"
"2024-07-04 00:00:00.0","0.0","225.0","0.0","13.6","63.0","90.7","3094.0","1011.9","24.9","12.5"
"2024-07-05 00:00:00.0","0.0","225.0","0.0","13.6","69.0","90.6","3139.0","1009.8","21.9","15.6"
"2024-07-06 00:00:00.0","0.0","0.0","0.0","7.7","71.0","51.4","2327.0","1014.6","18.6","19.3"
